"locale","city_id","name"
"th_TH","Khlong Toei","คลองเตย"
"th_TH","Khlong San","คลองสาน"
"th_TH","Khlong Sam Wa","คลองสามวา"
"th_TH","Khan Na Yao","คันนายาว"
"th_TH","Chatuchak","จตุจักร"
"th_TH","Chom Thong","จอมทอง"
"th_TH","Don Mueang","ดอนเมือง"
"th_TH","Din Daeng","ดินแดง"
"th_TH","Dusit","ดุสิต"
"th_TH","Taling Chan","ตลิ่งชัน"
"th_TH","Thawi Watthana","ทวีวัฒนา"
"th_TH","Thung Khru","ทุ่งครุ"
"th_TH","Thon Buri","ธนบุรี"
"th_TH","Bang Khen","บางเขน"
"th_TH","Bang Khae","บางแค"
"th_TH","Bangkok Yai","บางกอกใหญ่"
"th_TH","Bangkok Noi","บางกอกน้อย"
"th_TH","Bang Kapi","บางกะปิ"
"th_TH","Bang Khun Thian","บางขุนเทียน"
"th_TH","Bang Kho Laem","บางคอแหลม"
"th_TH","Bang Sue","บางซื่อ"
"th_TH","Bang Na","บางนา"
"th_TH","Bang Bon","บางบอน"
"th_TH","Bang Phlat","บางพลัด"
"th_TH","Bang Rak","บางรัก"
"th_TH","Bueng Kum","บึงกุ่ม"
"th_TH","Pathum Wan","ปทุมวัน"
"th_TH","Prawet","ประเวศ"
"th_TH","Pom Prap Sattru Phai","ป้อมปราบศัตรูพ่าย"
"th_TH","Phaya Thai","พญาไท"
"th_TH","Phra Khanong","พระโขนง"
"th_TH","Phra Nakhon","พระนคร"
"th_TH","Phasi Charoen","ภาษีเจริญ"
"th_TH","Min Buri","มีนบุรี"
"th_TH","Yan Nawa","ยานนาวา"
"th_TH","Ratchathewi","ราชเทวี"
"th_TH","Rat Burana","ราษฎร์บูรณะ"
"th_TH","Lat Krabang","ลาดกระบัง"
"th_TH","Lat Phrao","ลาดพร้าว"
"th_TH","Wang Thonglang","วังทองหลาง"
"th_TH","Watthana","วัฒนา"
"th_TH","Suan Luang","สวนหลวง"
"th_TH","Saphan Sung","สะพานสูง"
"th_TH","Samphanthawong","สัมพันธวงศ์"
"th_TH","Sathon","สาทร"
"th_TH","Sai Mai","สายไหม"
"th_TH","Nong Khaem","หนองแขม"
"th_TH","Nong Chok","หนองจอก"
"th_TH","Lak Si","หลักสี่"
"th_TH","Huai Khwang","ห้วยขวาง"
"th_TH","Mueang Samut Prakan","เมืองสมุทรปราการ"
"th_TH","Bang Sao Thong","บางเสาธง"
"th_TH","Bang Bo","บางบ่อ"
"th_TH","Bang Phli","บางพลี"
"th_TH","Phra Pradaeng","พระประแดง"
"th_TH","Phra Samut Chedi","พระสมุทรเจดีย์"
"th_TH","Mueang Samut Sakhon","เมืองสมุทรสาคร"
"th_TH","Krathum Baen","กระทุ่มแบน"
"th_TH","Ban Phaeo","บ้านแพ้ว"
"th_TH","Mueang Nonthaburi","เมืองนนทบุรี"
"th_TH","Sai Noi","ไทรน้อย"
"th_TH","Bang Yai","บางใหญ่"
"th_TH","Bang Kruai","บางกรวย"
"th_TH","Bang Bua Thong","บางบัวทอง"
"th_TH","Pak Kret","ปากเกร็ด"
